recid,radate,assignmt,site,training,afdc,sex,class_tr,ojt_jsa,oth_serv,bdate,age,earnings,prevearn,married,pbhous,hsorged,black,hispanic,f2sms,wkless13,newern01,newern02,newern03,newern04,newern05,newern06,newern07,newern08,newern09,newern10,newern11,newern12,newern13,newern14,newern15,newern16,newern17,newern18,newern19,newern20,newern21,newern22,newern23,newern24,newern25,newern26,newern27,newern28,newern29,newern30,bifrsp,employed_01,employed_02,employed_03,employed_04,employed_05,employed_06,employed_07,employed_08,employed_09,employed_10,employed_11,employed_12,employed_13,employed_14,employed_15,employed_16,employed_17,employed_18,employed_19,employed_20,employed_21,employed_22,employed_23,employed_24,employed_25,employed_26,employed_27,employed_28,employed_29,employed_30,frac_months_employed,outcome,bfeduca,reasonsa,reasonsb,reasonsc,reject
309936,09/26/88,1,PR,1,0,0,1,0,0,06/28/45,43,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,Missing,Missing,Missing,Did not reject
309938,06/16/89,0,IN,0,1,0,0,0,1,07/02/63,25,30657,2444.656,0,0,1,0,1,0,0,0,0,0,265,265,265,1163,1163,1163,1048,1048,1048,1255,1255,1255,1127,1127,1127,1472,1472,1472,1183,1183,1183,1353,1353,1353,1353,1353,1353,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,.89999998,1,09,Missing,Missing,Missing,Did not reject
309945,01/23/89,1,SM,0,0,0,0,1,0,12/11/48,40,32679,2444.656,0,0,1,0,0,0,1,0,0,1068,1068,1068,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,.93333334,1,12,Needed Job,Changed Mind,No Other,Rejected JTPA
309946,05/09/88,0,JK,0,1,0,0,1,0,03/12/60,28,0,4635,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,Missing,Missing,Missing,Did not reject
309947,11/15/88,0,CV,0,1,0,0,0,1,08/18/57,31,35396,0,1,0,1,0,0,0,1,395,1099,1099,1099,930,930,930,1107,1107,1107,1245,1245,1245,2105,2105,2105,1477,1477,1477,432,432,432,1202,1202,1202,1018,1018,1018,1578,1578,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,Not Chosen,Control,No Other,Did not reject
309948,03/16/88,1,JK,1,0,1,1,0,0,04/09/53,34,22923,12000,.33528507,0,.68767726,1,0,0,0,1969,1969,1969,347,347,347,0,0,0,1376,1376,1376,1469,1469,1469,1472,1472,1472,361,361,361,0,0,0,0,0,0,647,647,647,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,.69999999,1,12,Missing,Missing,Missing,Did not reject
309949,01/07/88,1,MD,1,0,1,0,1,0,01/09/52,35,51990,900,0,0,0,0,0,1,1,1439,1538,1489,1538,1489,1538,1538,1489,1538,1489,1538,1538,1389,1538,1489,1538,1489,1538,3699,3600,3720,2774,1392,1392,1258,1393,1382,1428,1382,1428,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,09,Missing,Missing,Missing,Did not reject
309951,11/07/88,1,IN,0,0,0,0,1,0,10/14/65,23,4218,200,0,0,0,0,0,0,1,85,283,283,283,876,876,876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,328,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,.30000001,0,08,Missing,Missing,Missing,Did not reject
309952,07/01/88,1,IN,1,0,0,0,1,0,03/10/44,44,12594,6224,0,0,1,0,0,0,0,784,784,844,844,844,816,816,816,0,0,0,0,0,0,0,0,0,0,0,0,149,149,149,910,910,910,710,710,710,739,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,.60000002,1,12,No Choice,No Other,Missing,Did not reject
309956,11/01/88,0,CV,0,0,1,0,0,1,03/19/54,34,2652,6000,0,0,0,1,0,1,0,0,338,557,497,799,461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.16666667,0,11,Not Chosen,Control,No Other,Did not reject
